secid,ticker,exchangecd,secshortname,enddate,period,overallrating
000014.OFCN,14,,华夏聚利债券,2021-03-31,3,5
000014.OFCN,14,,华夏聚利债券,2021-03-31,5,5
000032.OFCN,32,,易方达信用债债券-A,2021-03-31,5,5
000045.OFCN,45,,工银瑞信产业债债券-A,2021-03-31,3,5
000045.OFCN,45,,工银瑞信产业债债券-A,2021-03-31,5,5
000046.OFCN,46,,工银瑞信产业债债券-B,2021-03-31,5,5
000046.OFCN,46,,工银瑞信产业债债券-B,2021-03-31,3,5
000047.OFCN,47,,华夏双债增强债券-A,2021-03-31,3,5
000047.OFCN,47,,华夏双债增强债券-A,2021-03-31,5,5
000048.OFCN,48,,华夏双债增强债券-C,2021-03-31,5,5
000048.OFCN,48,,华夏双债增强债券-C,2021-03-31,3,5
000054.OFCN,54,,鹏华双债增利债券,2021-03-31,3,5
000054.OFCN,54,,鹏华双债增利债券,2021-03-31,5,5
000083.OFCN,83,,汇添富消费行业混合,2021-03-31,5,5
000084.OFCN,84,,博时安盈债券-A,2021-03-31,5,5
000084.OFCN,84,,博时安盈债券-A,2021-03-31,3,5
000085.OFCN,85,,博时安盈债券-C,2021-03-31,3,5
000085.OFCN,85,,博时安盈债券-C,2021-03-31,5,5
000121.OFCN,121,,华夏永福混合-A,2021-03-31,5,5
000128.OFCN,128,,大成景安短融债券-A,2021-03-31,5,5
000128.OFCN,128,,大成景安短融债券-A,2021-03-31,3,5
000129.OFCN,129,,大成景安短融债券-B,2021-03-31,5,5
000129.OFCN,129,,大成景安短融债券-B,2021-03-31,3,5
000139.OFCN,139,,富国国有企业债债券-A/B,2021-03-31,5,5
000143.OFCN,143,,鹏华双债加利债券,2021-03-31,3,5
000143.OFCN,143,,鹏华双债加利债券,2021-03-31,5,5
000171.OFCN,171,,易方达裕丰回报债券,2021-03-31,5,5
000171.OFCN,171,,易方达裕丰回报债券,2021-03-31,3,5
000186.OFCN,186,,华泰柏瑞季季红债券,2021-03-31,3,5
000186.OFCN,186,,华泰柏瑞季季红债券,2021-03-31,5,5
000190.OFCN2,190,,中银新回报灵活配置混合-A,2021-03-31,5,5
000215.OFCN,215,,广发趋势优选灵活配置混合-A,2021-03-31,5,5
000286.OFCN,286,,银华信用季季红债券-A,2021-03-31,5,5
000294.OFCN,294,,华安生态优先混合,2021-03-31,5,5
000294.OFCN,294,,华安生态优先混合,2021-03-31,3,5
000308.OFCN,308,,建信创新中国混合,2021-03-31,3,5
000338.OFCN,338,,鹏华双债保利债券,2021-03-31,5,5
000338.OFCN,338,,鹏华双债保利债券,2021-03-31,3,5
000355.OFCN,355,,南方丰元信用增强债券-A,2021-03-31,3,5
000356.OFCN,356,,南方丰元信用增强债券-C,2021-03-31,3,5
000362.OFCN,362,,国泰聚信价值优势灵活配置混合-A,2021-03-31,3,5
000362.OFCN,362,,国泰聚信价值优势灵活配置混合-A,2021-03-31,5,5
000363.OFCN,363,,国泰聚信价值优势灵活配置混合-C,2021-03-31,5,5
000363.OFCN,363,,国泰聚信价值优势灵活配置混合-C,2021-03-31,3,5
000367.OFCN,367,,国泰安康定期支付混合-A,2021-03-31,5,5
000385.OFCN,385,,景顺长城景颐双利债券-A,2021-03-31,5,5
000385.OFCN,385,,景顺长城景颐双利债券-A,2021-03-31,3,5
000386.OFCN,386,,景顺长城景颐双利债券-C,2021-03-31,3,5
000386.OFCN,386,,景顺长城景颐双利债券-C,2021-03-31,5,5
000390.OFCN,390,,华商优势行业灵活配置混合,2021-03-31,3,5
000394.OFCN2,394,,融通通源短融债券-A,2021-03-31,3,5
000394.OFCN2,394,,融通通源短融债券-A,2021-03-31,5,5
000406.OFCN,406,,汇添富双利增强债券-A,2021-03-31,5,5
